1;2012;"Engineering Village, IEEE, SCOPUS";"(Requirement) evolution requirements for adaptive systems"
2;2011;"ScienceDirect";"17 - Inspection, Monitoring, Auditing, and Tracking"
3;2010;"Engineering Village, SCOPUS";"2010 1st International Workshop on Requirements@Run.Time, RE@RunTime 2010"
4;2013;"SCOPUS";"2013 5th International Workshop on Modeling in Software Engineering, MiSE 2013 - Proceedings"
5;2013;"SCOPUS";"2013 IEEE Conference on Open Systems, ICOS 2013"
6;2014;"Engineering Village, SCOPUS";"2014 IEEE 1st International Workshop on Evolving Security and Privacy Requirements Engineering, ESPRE 2014 - Proceedings"
7;2002;"SCOPUS";"20th AIAA International Communication Satellite Systems Conference and Exhibit, ICSSC 2002"
8;2001;"SCOPUS";"2nd international workshop on living with inconsistency"
9;2014;"Engineering Village, SCOPUS";"33rd International Conference on Conceptual Modeling, ER 2014"
10;2008;"ACMDL";"3rd international workshop on advances and applications of problem frames"
11;2002;"ACMDL";"5SL: a language for declarative specification and generation of digital libraries"
12;2014;"Engineering Village, SCOPUS";"6th Workshop on Software Engineering for Resilient Systems, SERENE 2014"
13;2013;"SCOPUS";"7th International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE 2012"
14;2013;"Engineering Village, SCOPUS";"7th International Conference on Research Challenges in Information Science, RCIS 2013 - Conference Proceedings"
15;2014;"Engineering Village, SCOPUS";"9th International Conference on Dependability and Complex Systems, DepCoS-RELCOMEX 2014"
16;2011;"IEEE";"[Title page]"
17;2011;"Engineering Village, SCOPUS, Web of Science";"A BDI agent programming language with failure handling, declarative goals, and planning"
18;2011;"ACMDL";"A case study on benefits and side-effects of agile practices in large-scale requirements engineering"
19;2007;"Engineering Village, SCOPUS";"A classification-based approach to policy refinement"
20;1969;"IEEE";"A Compact Data Acquisition and Control Terminal for Particle Accelerators"
21;2006;"Engineering Village, SCOPUS";"A comparison of nearest neighbor search algorithms for generic object recognition"
22;2008;"SCOPUS, ScienceDirect";"A conceptual view on trajectories"
23;2007;"Engineering Village, SCOPUS";"A configurable event correlation architecture for adaptive J2EE applications"
24;2008;"ACMDL";"A context analysis method for constructing reliable embedded systems"
25;2006;"Engineering Village";"A context-aware system based on service-oriented architecture"
26;2005;"Engineering Village, SCOPUS";"A CORBA-based dynamic reconfigurable middleware"
27;2007;"ACMDL";"A data warehouse architecture for clinical data warehousing"
28;2004;"Engineering Village, SCOPUS";"A debugging strategy based on the requirements of testing"
29;2010;"ACMDL";"A deidealisation semantics for KAOS"
30;2007;"ACMDL";"A design framework for generating BDI-agents from goal models"
31;2007;"Engineering Village, SCOPUS";"A factory to design and buid tailorable and verifiable middleware"
32;2013;"ACMDL";"A few thoughts on engineering social machines: extended abstract"
33;2006;"Engineering Village, IEEE, SCOPUS, Web of Science";"A Five-Step Method for Value-Based Planning and Monitoring of Systems Engineering Projects"
34;2012;"Engineering Village, SCOPUS";"A foundation for requirements analysis of privacy preserving software"
35;2008;"Engineering Village, SCOPUS";"A Framework for Requirements Engineering Process Development (FRERE)"
36;2012;"Engineering Village, SCOPUS";"A framework for service-based business process collaboration"
37;2007;"Engineering Village, SCOPUS";"A framework for supporting dynamic systems co-evolution"
38;2014;"Engineering Village, SCOPUS, Springer";"A framework for the operationalization of monitoring in business intelligence requirements engineering"
39;2010;"Engineering Village, SCOPUS";"A generic architecture for surveillance systems"
40;2013;"IEEE";"A goal model elaboration for localizing changes in software evolution"
41;2010;"Engineering Village, SCOPUS, Springer, Web of Science";"A goal-based framework for contextual requirements modeling and analysis"
42;2009;"Engineering Village, SCOPUS, Web of Science";"A Goal-Based Modeling Approach to Develop Requirements of an Adaptive System with Environmental Uncertainty"
43;2014;"ACMDL";"A goal-oriented requirements engineering approach for the ambient assisted living domain"
44;2013;"SCOPUS";"A green model for sustainable software engineering"
45;2012;"SCOPUS";"A high-rate, low-power, ASIC speech decoder using finite state transducers"
46;2008;"Engineering Village, SCOPUS";"A human-machine dimensional inference ontology that weaves human intentions and requirements of context awareness systems"
47;2007;"Engineering Village, SCOPUS";"A job pause service under LAM/MPI+BLCR for transparent fault tolerance"
48;2001;"ACMDL";"A knowledge level software engineering methodology for agent oriented programming"
49;1992;"Web of Science";"A KNOWLEDGE-BASED SOFTWARE-DEVELOPMENT ENVIRONMENT SUPPORTING COOPERATIVE WORK"
50;1969;"IEEE";"A medical service requirements model for health system design"
51;2011;"SCOPUS, ScienceDirect";"A memory for goals model of sequence errors"
52;2010;"Engineering Village, SCOPUS";"A metamodel for aspect-oriented analysis approach"
53;2013;"ACMDL";"A method for modeling of KPIs enabling validation of their properties"
54;2003;"SCOPUS, ScienceDirect";"A method of formal requirement analysis for NPP I&C systems based on UML modeling with software cost reduction"
55;2010;"Engineering Village, IEEE, SCOPUS";"A method to acquire compliance monitors from regulations"
56;2004;"Engineering Village, SCOPUS, Web of Science";"A method to develop feasible requirements for Java mobile code application"
57;2014;"SCOPUS";"A middleware and policy-based adaptation framework to simplify software evolution: An implementation on unit trust enterprise system"
